dataset,scene,variant,train_reflection_consistency,test_reflection_consistency,train_reflective_region_psnr,test_reflective_region_psnr,train_valid_pair_count,test_valid_pair_count,train_num_pairs,test_num_pairs
shiny_blender_synthetic,ball,wo_ref,0.170002,0.048558,37.658057,32.371072,10,10,10,10
shiny_blender_synthetic,ball,wo_conf,0.167297,0.047149,37.185505,33.356595,10,10,10,10
shiny_blender_synthetic,ball,rough_only,0.169090,0.048624,38.079153,34.015917,10,10,10,10
shiny_blender_synthetic,car,wo_ref,0.349859,0.087502,31.029361,27.554748,10,10,10,10
shiny_blender_synthetic,car,wo_conf,0.187252,0.070931,30.919689,27.582257,10,10,10,10
shiny_blender_synthetic,car,rough_only,0.329224,0.089637,31.094702,27.827953,10,10,10,10
shiny_blender_synthetic,coffee,wo_ref,0.050771,0.007403,36.598477,30.352485,10,10,10,10
shiny_blender_synthetic,coffee,wo_conf,0.028463,0.006394,36.551889,30.762211,10,10,10,10
shiny_blender_synthetic,coffee,rough_only,0.053037,0.007933,35.975057,30.968200,10,10,10,10
shiny_blender_synthetic,helmet,wo_ref,0.357814,0.168922,37.109957,35.843140,10,10,10,10
shiny_blender_synthetic,helmet,wo_conf,0.095611,0.036385,37.152061,36.120549,10,10,10,10
shiny_blender_synthetic,helmet,rough_only,0.307970,0.155428,36.859178,36.006968,10,10,10,10
shiny_blender_synthetic,teapot,wo_ref,0.021929,0.004246,39.366471,39.846436,10,10,10,10
shiny_blender_synthetic,teapot,wo_conf,0.016082,0.003828,38.926056,39.253265,10,10,10,10
shiny_blender_synthetic,teapot,rough_only,0.022074,0.003974,38.820274,39.317514,10,10,10,10
shiny_blender_synthetic,toaster,wo_ref,0.320456,0.136105,31.249592,22.405209,10,10,10,10
shiny_blender_synthetic,toaster,wo_conf,0.161980,0.067182,30.847954,21.731643,10,10,10,10
shiny_blender_synthetic,toaster,rough_only,0.277755,0.111826,31.052160,21.566389,10,10,10,10
glossy_synthetic,angel,wo_ref,0.117551,0.123695,25.993908,22.452810,10,10,10,10
glossy_synthetic,angel,wo_conf,0.104362,0.112238,26.048082,22.418060,10,10,10,10
glossy_synthetic,angel,rough_only,0.115237,0.122136,25.640683,22.239761,10,10,10,10
glossy_synthetic,bell,wo_ref,0.147212,0.111797,28.287262,25.678668,10,10,10,10
glossy_synthetic,bell,wo_conf,0.143247,0.112892,28.281042,25.577692,10,10,10,10
glossy_synthetic,bell,rough_only,0.150847,0.111925,28.273621,25.629726,10,10,10,10
glossy_synthetic,cat,wo_ref,0.124851,0.158945,28.063603,26.872317,10,10,10,10
glossy_synthetic,cat,wo_conf,0.119981,0.154411,27.952321,27.069304,10,10,10,10
glossy_synthetic,cat,rough_only,0.123730,0.157955,28.029560,27.137519,10,10,10,10
glossy_synthetic,horse,wo_ref,0.195731,0.223222,23.411333,22.025289,10,10,10,10
glossy_synthetic,horse,wo_conf,0.181438,0.207403,24.006667,22.150599,10,10,10,10
glossy_synthetic,horse,rough_only,0.198042,0.222104,23.906453,22.025046,10,10,10,10
glossy_synthetic,luyu,wo_ref,0.122295,0.129534,25.654273,23.295272,10,10,10,10
glossy_synthetic,luyu,wo_conf,0.109617,0.120161,25.221498,22.987456,10,10,10,10
glossy_synthetic,luyu,rough_only,0.120402,0.126841,25.318343,23.070028,10,10,10,10
glossy_synthetic,potion,wo_ref,0.092060,0.085130,29.271531,27.636847,10,10,10,10
glossy_synthetic,potion,wo_conf,0.082360,0.078392,29.058702,27.707266,10,10,10,10
glossy_synthetic,potion,rough_only,0.093112,0.085329,29.025543,27.662608,10,10,10,10
glossy_synthetic,tbell,wo_ref,0.268581,0.309079,27.079141,25.925283,10,10,10,10
glossy_synthetic,tbell,wo_conf,0.239420,0.278229,27.229942,25.870968,10,10,10,10
glossy_synthetic,tbell,rough_only,0.277621,0.318663,27.063844,25.775622,10,10,10,10
glossy_synthetic,teapot,wo_ref,0.327387,0.297595,22.967047,20.604636,10,10,10,10
glossy_synthetic,teapot,wo_conf,0.299003,0.274405,23.020755,20.547957,10,10,10,10
glossy_synthetic,teapot,rough_only,0.325665,0.300422,22.861709,20.399247,10,10,10,10
