dataset,scene,split,consistency_improved,full_image_improved_metrics,full_image_worsened_metrics,reflective_improved_metrics,reflective_worsened_metrics,all_improved_metrics,all_worsened_metrics,tradeoff_patterns
shiny_blender_synthetic,ball,train,True,full_lpips;full_psnr;full_ssim,,reflective_psnr;reflective_region_psnr,reflective_lpips;reflective_ssim,mean_reflection_consistency;reflective_region_psnr;full_psnr;full_ssim;full_lpips;reflective_psnr,reflective_ssim;reflective_lpips,consistency_improves_render_quality_tradeoff;rc_worsens_at_least_one_metric
shiny_blender_synthetic,ball,test,True,full_lpips;full_psnr;full_ssim,,reflective_psnr,reflective_lpips;reflective_region_psnr;reflective_ssim,mean_reflection_consistency;full_psnr;full_ssim;full_lpips;reflective_psnr,reflective_region_psnr;reflective_ssim;reflective_lpips,consistency_improves_render_quality_tradeoff;rc_worsens_at_least_one_metric
shiny_blender_synthetic,car,train,True,,full_lpips;full_psnr;full_ssim,,reflective_lpips;reflective_psnr;reflective_region_psnr;reflective_ssim,mean_reflection_consistency,reflective_region_psnr;full_psnr;full_ssim;full_lpips;reflective_psnr;reflective_ssim;reflective_lpips,consistency_improves_render_quality_tradeoff;rc_worsens_at_least_one_metric
shiny_blender_synthetic,car,test,True,full_lpips;full_ssim,full_psnr,reflective_psnr;reflective_region_psnr;reflective_ssim,reflective_lpips,mean_reflection_consistency;reflective_region_psnr;full_ssim;full_lpips;reflective_psnr;reflective_ssim,full_psnr;reflective_lpips,consistency_improves_render_quality_tradeoff;reflective_metric_improves_full_image_tradeoff;rc_worsens_at_least_one_metric
shiny_blender_synthetic,coffee,train,True,,full_lpips;full_psnr;full_ssim,,reflective_lpips;reflective_psnr;reflective_region_psnr;reflective_ssim,mean_reflection_consistency,reflective_region_psnr;full_psnr;full_ssim;full_lpips;reflective_psnr;reflective_ssim;reflective_lpips,consistency_improves_render_quality_tradeoff;rc_worsens_at_least_one_metric
shiny_blender_synthetic,coffee,test,False,full_lpips;full_psnr;full_ssim,,,reflective_lpips;reflective_psnr;reflective_region_psnr;reflective_ssim,full_psnr;full_ssim;full_lpips,mean_reflection_consistency;reflective_region_psnr;reflective_psnr;reflective_ssim;reflective_lpips,rc_worsens_at_least_one_metric
shiny_blender_synthetic,helmet,train,True,,full_lpips;full_psnr;full_ssim,reflective_region_psnr,reflective_lpips;reflective_psnr;reflective_ssim,mean_reflection_consistency;reflective_region_psnr,full_psnr;full_ssim;full_lpips;reflective_psnr;reflective_ssim;reflective_lpips,consistency_improves_render_quality_tradeoff;reflective_metric_improves_full_image_tradeoff;rc_worsens_at_least_one_metric
shiny_blender_synthetic,helmet,test,True,full_psnr,full_lpips;full_ssim,reflective_lpips;reflective_psnr;reflective_ssim,reflective_region_psnr,mean_reflection_consistency;full_psnr;reflective_psnr;reflective_ssim;reflective_lpips,reflective_region_psnr;full_ssim;full_lpips,consistency_improves_render_quality_tradeoff;reflective_metric_improves_full_image_tradeoff;rc_worsens_at_least_one_metric
shiny_blender_synthetic,teapot,train,True,full_lpips;full_psnr;full_ssim,,reflective_lpips;reflective_psnr;reflective_region_psnr;reflective_ssim,,mean_reflection_consistency;reflective_region_psnr;full_psnr;full_ssim;full_lpips;reflective_psnr;reflective_ssim;reflective_lpips,,
shiny_blender_synthetic,teapot,test,True,full_lpips;full_psnr;full_ssim,,reflective_lpips;reflective_psnr;reflective_region_psnr;reflective_ssim,,mean_reflection_consistency;reflective_region_psnr;full_psnr;full_ssim;full_lpips;reflective_psnr;reflective_ssim;reflective_lpips,,
shiny_blender_synthetic,toaster,train,True,full_psnr,full_lpips;full_ssim,reflective_lpips;reflective_psnr;reflective_region_psnr;reflective_ssim,,mean_reflection_consistency;reflective_region_psnr;full_psnr;reflective_psnr;reflective_ssim;reflective_lpips,full_ssim;full_lpips,consistency_improves_render_quality_tradeoff;reflective_metric_improves_full_image_tradeoff;rc_worsens_at_least_one_metric
