dataset,scene,base_train_reflection_consistency,rc_train_reflection_consistency,train_delta_rc_minus_base,base_test_reflection_consistency,rc_test_reflection_consistency,test_delta_rc_minus_base,base_train_reflective_region_psnr,rc_train_reflective_region_psnr,base_test_reflective_region_psnr,rc_test_reflective_region_psnr,rc_lower_train,rc_lower_test,base_train_valid_pair_count,rc_train_valid_pair_count,base_test_valid_pair_count,rc_test_valid_pair_count
shiny_blender_synthetic,ball,0.171265,0.166399,-0.004866,0.049551,0.048153,-0.001398,37.801053,38.091485,32.915834,32.864217,true,true,10,10,10,10
shiny_blender_synthetic,car,0.312476,0.142671,-0.169805,0.086073,0.048242,-0.037831,31.032323,30.994009,27.511025,27.844405,true,true,10,10,10,10
shiny_blender_synthetic,coffee,0.053886,0.022230,-0.031656,0.006913,0.009251,0.002339,35.920494,35.814023,29.417591,28.612015,true,false,10,10,10,10
shiny_blender_synthetic,helmet,0.640577,0.089542,-0.551036,0.216839,0.035957,-0.180882,36.694056,36.785546,35.914020,35.575926,true,true,10,10,10,10
shiny_blender_synthetic,teapot,0.021762,0.012483,-0.009279,0.003896,0.002698,-0.001198,39.039309,39.777784,39.413220,39.785581,true,true,10,10,10,10
shiny_blender_synthetic,toaster,0.278151,0.162093,-0.116057,0.105457,0.057213,-0.048244,31.098335,31.214614,22.386799,22.110078,true,true,10,10,10,10
glossy_synthetic,angel,0.116105,0.099758,-0.016347,0.122405,0.107795,-0.014609,25.869607,26.095824,22.186220,22.699249,true,true,10,10,10,10
glossy_synthetic,bell,0.147816,0.143343,-0.004472,0.109720,0.107743,-0.001976,28.298690,28.273759,25.546736,25.735924,true,true,10,10,10,10
glossy_synthetic,cat,0.122459,0.115398,-0.007061,0.156606,0.149770,-0.006836,28.267777,28.245302,27.264506,26.788152,true,true,10,10,10,10
glossy_synthetic,horse,0.199373,0.178480,-0.020893,0.225030,0.194651,-0.030379,24.135630,24.255452,22.161104,22.394419,true,true,10,10,10,10
glossy_synthetic,luyu,0.118881,0.110040,-0.008841,0.124421,0.119502,-0.004918,25.514340,24.714075,23.336602,22.597056,true,true,10,10,10,10
glossy_synthetic,potion,0.092401,0.087164,-0.005238,0.085846,0.083394,-0.002452,29.079368,29.339462,27.773389,28.107669,true,true,10,10,10,10
glossy_synthetic,tbell,0.280801,0.226292,-0.054509,0.316943,0.260442,-0.056501,27.632582,27.312349,25.764760,25.889071,true,true,10,10,10,10
glossy_synthetic,teapot,0.335104,0.294280,-0.040824,0.295933,0.252433,-0.043500,23.052290,22.858504,20.463846,20.661320,true,true,10,10,10,10
