dataset,scene,split,variant,job_status,failed_step,source_path,mean_reflection_consistency,wins_vs_base_mean_reflection_consistency,wins_vs_rc_mean_reflection_consistency,wins_vs_rc_qp_lam010_mean_reflection_consistency,full_psnr,wins_vs_base_full_psnr,wins_vs_rc_full_psnr,wins_vs_rc_qp_lam010_full_psnr,full_ssim,wins_vs_base_full_ssim,wins_vs_rc_full_ssim,wins_vs_rc_qp_lam010_full_ssim,full_lpips,wins_vs_base_full_lpips,wins_vs_rc_full_lpips,wins_vs_rc_qp_lam010_full_lpips,reflective_psnr,wins_vs_base_reflective_psnr,wins_vs_rc_reflective_psnr,wins_vs_rc_qp_lam010_reflective_psnr,reflective_ssim,wins_vs_base_reflective_ssim,wins_vs_rc_reflective_ssim,wins_vs_rc_qp_lam010_reflective_ssim,reflective_lpips,wins_vs_base_reflective_lpips,wins_vs_rc_reflective_lpips,wins_vs_rc_qp_lam010_reflective_lpips
shiny_blender_synthetic,helmet,train,base,baseline_from_fd_p2_lite_final_summary,,,0.640577447414,,FALSE,FALSE,40.1417076874,,TRUE,FALSE,0.993489298224,,TRUE,TRUE,0.00633137773257,,TRUE,TRUE,40.8460811996,,TRUE,FALSE,0.994107502103,,TRUE,TRUE,0.00499711540295,,TRUE,TRUE
shiny_blender_synthetic,helmet,train,rc,baseline_from_fd_p2_lite_final_summary,,,0.0895418930799,TRUE,,TRUE,40.051305542,FALSE,,FALSE,0.993292196989,FALSE,,FALSE,0.00645906769671,FALSE,,TRUE,40.7701453781,FALSE,,FALSE,0.993927591443,FALSE,,FALSE,0.00511385741876,FALSE,,TRUE
shiny_blender_synthetic,helmet,train,rc_qp_lam010,completed_from_4scene_lam010_pilot,,/data/liuly/dataset/3DGS/Shiny Blender Synthetic/helmet,0.0978540290147,TRUE,FALSE,,40.1660605621,TRUE,TRUE,,0.993429845572,FALSE,TRUE,,0.00652566800825,FALSE,FALSE,,40.8880712509,TRUE,TRUE,,0.994082311392,FALSE,TRUE,,0.00517804526491,FALSE,FALSE,
shiny_blender_synthetic,helmet,train,rc_qp_lam005,not_run_manual_cuda_preflight_failed,manual_cuda_preflight,/data/liuly/dataset/3DGS/Shiny Blender Synthetic/helmet,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shiny_blender_synthetic,helmet,train,rc_qp_lam010_start5000_every8,not_run_manual_cuda_preflight_failed,manual_cuda_preflight,/data/liuly/dataset/3DGS/Shiny Blender Synthetic/helmet,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shiny_blender_synthetic,helmet,test,base,baseline_from_fd_p2_lite_final_summary,,,0.216838933527,,FALSE,FALSE,35.8392297745,,FALSE,TRUE,0.985016433299,,TRUE,TRUE,0.0146340828622,,TRUE,TRUE,36.4629203129,,FALSE,TRUE,0.986908330023,,FALSE,TRUE,0.0113525103149,,FALSE,TRUE
shiny_blender_synthetic,helmet,test,rc,baseline_from_fd_p2_lite_final_summary,,,0.0359569136053,TRUE,,TRUE,35.9123687553,TRUE,,TRUE,0.985004830658,FALSE,,TRUE,0.0146680492209,FALSE,,TRUE,36.5550987053,TRUE,,TRUE,0.986920369565,TRUE,,TRUE,0.0113222172973,TRUE,,TRUE
shiny_blender_synthetic,helmet,test,rc_qp_lam010,completed_from_4scene_lam010_pilot,,/data/liuly/dataset/3DGS/Shiny Blender Synthetic/helmet,0.0389604449272,TRUE,FALSE,,35.6922024536,FALSE,FALSE,,0.984486527443,FALSE,FALSE,,0.015002853875,FALSE,FALSE,,36.31802701,FALSE,FALSE,,0.986445338726,FALSE,FALSE,,0.0117289610812,FALSE,FALSE,
shiny_blender_synthetic,helmet,test,rc_qp_lam005,not_run_manual_cuda_preflight_failed,manual_cuda_preflight,/data/liuly/dataset/3DGS/Shiny Blender Synthetic/helmet,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shiny_blender_synthetic,helmet,test,rc_qp_lam010_start5000_every8,not_run_manual_cuda_preflight_failed,manual_cuda_preflight,/data/liuly/dataset/3DGS/Shiny Blender Synthetic/helmet,,,,,,,,,,,,,,,,,,,,,,,,,,,,
