dataset,dataset_label,variant,split,metric,value,better_direction,completed_runs,expected_runs,interpretation_short,normalized_score
shiny_blender_synthetic,Shiny-Syn.,wo_ref,train,mean_reflection_consistency,0.211805,lower,6,6,Removal of reflection-consistency supervision; compare cautiously to RC.,0.0
shiny_blender_synthetic,Shiny-Syn.,wo_conf,train,mean_reflection_consistency,0.109448,lower,6,6,Neutralized confidence weighting; compare cautiously to RC.,1.0
shiny_blender_synthetic,Shiny-Syn.,rough_only,train,mean_reflection_consistency,0.193192,lower,6,6,Roughness-only regularization; compare cautiously to RC.,0.18184393837255872
shiny_blender_synthetic,Shiny-Syn.,wo_ref,train,reflective_region_psnr,35.501986,higher,6,6,Removal of reflection-consistency supervision; compare cautiously to RC.,1.0
shiny_blender_synthetic,Shiny-Syn.,wo_conf,train,reflective_region_psnr,35.263859,higher,6,6,Neutralized confidence weighting; compare cautiously to RC.,0.0
shiny_blender_synthetic,Shiny-Syn.,rough_only,train,reflective_region_psnr,35.31342,higher,6,6,Roughness-only regularization; compare cautiously to RC.,0.20812843566669462
shiny_blender_synthetic,Shiny-Syn.,wo_ref,train,full_psnr,39.974134,higher,6,6,Removal of reflection-consistency supervision; compare cautiously to RC.,1.0
shiny_blender_synthetic,Shiny-Syn.,wo_conf,train,full_psnr,39.910465,higher,6,6,Neutralized confidence weighting; compare cautiously to RC.,0.0
shiny_blender_synthetic,Shiny-Syn.,rough_only,train,full_psnr,39.962747,higher,6,6,Roughness-only regularization; compare cautiously to RC.,0.8211531514551881
shiny_blender_synthetic,Shiny-Syn.,wo_ref,train,full_ssim,0.988553,higher,6,6,Removal of reflection-consistency supervision; compare cautiously to RC.,0.5822784810129784
shiny_blender_synthetic,Shiny-Syn.,wo_conf,train,full_ssim,0.988507,higher,6,6,Neutralized confidence weighting; compare cautiously to RC.,0.0
shiny_blender_synthetic,Shiny-Syn.,rough_only,train,full_ssim,0.988586,higher,6,6,Roughness-only regularization; compare cautiously to RC.,1.0
shiny_blender_synthetic,Shiny-Syn.,wo_ref,train,full_lpips,0.018039,lower,6,6,Removal of reflection-consistency supervision; compare cautiously to RC.,0.5327102803738485
shiny_blender_synthetic,Shiny-Syn.,wo_conf,train,full_lpips,0.018096,lower,6,6,Neutralized confidence weighting; compare cautiously to RC.,0.0
shiny_blender_synthetic,Shiny-Syn.,rough_only,train,full_lpips,0.017989,lower,6,6,Roughness-only regularization; compare cautiously to RC.,1.0
shiny_blender_synthetic,Shiny-Syn.,wo_ref,train,reflective_psnr,41.602831,higher,6,6,Removal of reflection-consistency supervision; compare cautiously to RC.,1.0
