dataset,dataset_label,scene,split,metric,better_direction,rc_minus_base_delta,improvement,winner,quality_tradeoff_summary
shiny_blender_synthetic,Shiny-Syn.,ball,train,mean_reflection_consistency,lower,-0.004866,0.004866,RC,"train: worsened=reflective_ssim, reflective_lpips; test: worsened=reflective_region_psnr, reflective_ssim, reflective_lpips"
shiny_blender_synthetic,Shiny-Syn.,ball,train,full_psnr,higher,0.134509,0.134509,RC,"train: worsened=reflective_ssim, reflective_lpips; test: worsened=reflective_region_psnr, reflective_ssim, reflective_lpips"
shiny_blender_synthetic,Shiny-Syn.,ball,train,full_ssim,higher,9.2e-05,9.2e-05,RC,"train: worsened=reflective_ssim, reflective_lpips; test: worsened=reflective_region_psnr, reflective_ssim, reflective_lpips"
shiny_blender_synthetic,Shiny-Syn.,ball,train,full_lpips,lower,-0.000409,0.000409,RC,"train: worsened=reflective_ssim, reflective_lpips; test: worsened=reflective_region_psnr, reflective_ssim, reflective_lpips"
shiny_blender_synthetic,Shiny-Syn.,ball,train,reflective_psnr,higher,0.105566,0.105566,RC,"train: worsened=reflective_ssim, reflective_lpips; test: worsened=reflective_region_psnr, reflective_ssim, reflective_lpips"
shiny_blender_synthetic,Shiny-Syn.,ball,train,reflective_ssim,higher,-0.000134,-0.000134,base,"train: worsened=reflective_ssim, reflective_lpips; test: worsened=reflective_region_psnr, reflective_ssim, reflective_lpips"
shiny_blender_synthetic,Shiny-Syn.,ball,train,reflective_lpips,lower,0.002788,-0.002788,base,"train: worsened=reflective_ssim, reflective_lpips; test: worsened=reflective_region_psnr, reflective_ssim, reflective_lpips"
shiny_blender_synthetic,Shiny-Syn.,ball,test,mean_reflection_consistency,lower,-0.001398,0.001398,RC,"train: worsened=reflective_ssim, reflective_lpips; test: worsened=reflective_region_psnr, reflective_ssim, reflective_lpips"
shiny_blender_synthetic,Shiny-Syn.,ball,test,full_psnr,higher,0.05639,0.05639,RC,"train: worsened=reflective_ssim, reflective_lpips; test: worsened=reflective_region_psnr, reflective_ssim, reflective_lpips"
shiny_blender_synthetic,Shiny-Syn.,ball,test,full_ssim,higher,7e-05,7e-05,RC,"train: worsened=reflective_ssim, reflective_lpips; test: worsened=reflective_region_psnr, reflective_ssim, reflective_lpips"
shiny_blender_synthetic,Shiny-Syn.,ball,test,full_lpips,lower,-0.000289,0.000289,RC,"train: worsened=reflective_ssim, reflective_lpips; test: worsened=reflective_region_psnr, reflective_ssim, reflective_lpips"
shiny_blender_synthetic,Shiny-Syn.,ball,test,reflective_psnr,higher,0.021905,0.021905,RC,"train: worsened=reflective_ssim, reflective_lpips; test: worsened=reflective_region_psnr, reflective_ssim, reflective_lpips"
shiny_blender_synthetic,Shiny-Syn.,ball,test,reflective_ssim,higher,-0.000241,-0.000241,base,"train: worsened=reflective_ssim, reflective_lpips; test: worsened=reflective_region_psnr, reflective_ssim, reflective_lpips"
shiny_blender_synthetic,Shiny-Syn.,ball,test,reflective_lpips,lower,0.004307,-0.004307,base,"train: worsened=reflective_ssim, reflective_lpips; test: worsened=reflective_region_psnr, reflective_ssim, reflective_lpips"
shiny_blender_synthetic,Shiny-Syn.,car,train,mean_reflection_consistency,lower,-0.169805,0.169805,RC,"train: worsened=reflective_region_psnr, full_psnr, full_ssim, full_lpips, reflective_psnr, reflective_ssim, reflective_lpips; test: worsened=full_psnr, reflective_lpips"
shiny_blender_synthetic,Shiny-Syn.,car,train,full_psnr,higher,-0.234296,-0.234296,base,"train: worsened=reflective_region_psnr, full_psnr, full_ssim, full_lpips, reflective_psnr, reflective_ssim, reflective_lpips; test: worsened=full_psnr, reflective_lpips"
shiny_blender_synthetic,Shiny-Syn.,car,train,full_ssim,higher,-0.000121,-0.000121,base,"train: worsened=reflective_region_psnr, full_psnr, full_ssim, full_lpips, reflective_psnr, reflective_ssim, reflective_lpips; test: worsened=full_psnr, reflective_lpips"
shiny_blender_synthetic,Shiny-Syn.,car,train,full_lpips,lower,2.2e-05,-2.2e-05,base,"train: worsened=reflective_region_psnr, full_psnr, full_ssim, full_lpips, reflective_psnr, reflective_ssim, reflective_lpips; test: worsened=full_psnr, reflective_lpips"
shiny_blender_synthetic,Shiny-Syn.,car,train,reflective_psnr,higher,-0.227397,-0.227397,base,"train: worsened=reflective_region_psnr, full_psnr, full_ssim, full_lpips, reflective_psnr, reflective_ssim, reflective_lpips; test: worsened=full_psnr, reflective_lpips"
shiny_blender_synthetic,Shiny-Syn.,car,train,reflective_ssim,higher,-0.000236,-0.000236,base,"train: worsened=reflective_region_psnr, full_psnr, full_ssim, full_lpips, reflective_psnr, reflective_ssim, reflective_lpips; test: worsened=full_psnr, reflective_lpips"
shiny_blender_synthetic,Shiny-Syn.,car,train,reflective_lpips,lower,0.000393,-0.000393,base,"train: worsened=reflective_region_psnr, full_psnr, full_ssim, full_lpips, reflective_psnr, reflective_ssim, reflective_lpips; test: worsened=full_psnr, reflective_lpips"
shiny_blender_synthetic,Shiny-Syn.,car,test,mean_reflection_consistency,lower,-0.037831,0.037831,RC,"train: worsened=reflective_region_psnr, full_psnr, full_ssim, full_lpips, reflective_psnr, reflective_ssim, reflective_lpips; test: worsened=full_psnr, reflective_lpips"
shiny_blender_synthetic,Shiny-Syn.,car,test,full_psnr,higher,-0.018468,-0.018468,base,"train: worsened=reflective_region_psnr, full_psnr, full_ssim, full_lpips, reflective_psnr, reflective_ssim, reflective_lpips; test: worsened=full_psnr, reflective_lpips"
shiny_blender_synthetic,Shiny-Syn.,car,test,full_ssim,higher,0.000352,0.000352,RC,"train: worsened=reflective_region_psnr, full_psnr, full_ssim, full_lpips, reflective_psnr, reflective_ssim, reflective_lpips; test: worsened=full_psnr, reflective_lpips"
shiny_blender_synthetic,Shiny-Syn.,car,test,full_lpips,lower,-0.000276,0.000276,RC,"train: worsened=reflective_region_psnr, full_psnr, full_ssim, full_lpips, reflective_psnr, reflective_ssim, reflective_lpips; test: worsened=full_psnr, reflective_lpips"
shiny_blender_synthetic,Shiny-Syn.,car,test,reflective_psnr,higher,0.09974,0.09974,RC,"train: worsened=reflective_region_psnr, full_psnr, full_ssim, full_lpips, reflective_psnr, reflective_ssim, reflective_lpips; test: worsened=full_psnr, reflective_lpips"
shiny_blender_synthetic,Shiny-Syn.,car,test,reflective_ssim,higher,0.000289,0.000289,RC,"train: worsened=reflective_region_psnr, full_psnr, full_ssim, full_lpips, reflective_psnr, reflective_ssim, reflective_lpips; test: worsened=full_psnr, reflective_lpips"
shiny_blender_synthetic,Shiny-Syn.,car,test,reflective_lpips,lower,0.000682,-0.000682,base,"train: worsened=reflective_region_psnr, full_psnr, full_ssim, full_lpips, reflective_psnr, reflective_ssim, reflective_lpips; test: worsened=full_psnr, reflective_lpips"
shiny_blender_synthetic,Shiny-Syn.,coffee,train,mean_reflection_consistency,lower,-0.031656,0.031656,RC,"train: worsened=reflective_region_psnr, full_psnr, full_ssim, full_lpips, reflective_psnr, reflective_ssim, reflective_lpips; test: worsened=mean_reflection_consistency, reflective_region_psnr, reflective_psnr, reflective_ssim, reflective_lpips"
shiny_blender_synthetic,Shiny-Syn.,coffee,train,full_psnr,higher,-0.166972,-0.166972,base,"train: worsened=reflective_region_psnr, full_psnr, full_ssim, full_lpips, reflective_psnr, reflective_ssim, reflective_lpips; test: worsened=mean_reflection_consistency, reflective_region_psnr, reflective_psnr, reflective_ssim, reflective_lpips"
shiny_blender_synthetic,Shiny-Syn.,coffee,train,full_ssim,higher,-0.00018,-0.00018,base,"train: worsened=reflective_region_psnr, full_psnr, full_ssim, full_lpips, reflective_psnr, reflective_ssim, reflective_lpips; test: worsened=mean_reflection_consistency, reflective_region_psnr, reflective_psnr, reflective_ssim, reflective_lpips"
shiny_blender_synthetic,Shiny-Syn.,coffee,train,full_lpips,lower,0.000921,-0.000921,base,"train: worsened=reflective_region_psnr, full_psnr, full_ssim, full_lpips, reflective_psnr, reflective_ssim, reflective_lpips; test: worsened=mean_reflection_consistency, reflective_region_psnr, reflective_psnr, reflective_ssim, reflective_lpips"
shiny_blender_synthetic,Shiny-Syn.,coffee,train,reflective_psnr,higher,-1.152615,-1.152615,base,"train: worsened=reflective_region_psnr, full_psnr, full_ssim, full_lpips, reflective_psnr, reflective_ssim, reflective_lpips; test: worsened=mean_reflection_consistency, reflective_region_psnr, reflective_psnr, reflective_ssim, reflective_lpips"
shiny_blender_synthetic,Shiny-Syn.,coffee,train,reflective_ssim,higher,-0.001161,-0.001161,base,"train: worsened=reflective_region_psnr, full_psnr, full_ssim, full_lpips, reflective_psnr, reflective_ssim, reflective_lpips; test: worsened=mean_reflection_consistency, reflective_region_psnr, reflective_psnr, reflective_ssim, reflective_lpips"
shiny_blender_synthetic,Shiny-Syn.,coffee,train,reflective_lpips,lower,0.001248,-0.001248,base,"train: worsened=reflective_region_psnr, full_psnr, full_ssim, full_lpips, reflective_psnr, reflective_ssim, reflective_lpips; test: worsened=mean_reflection_consistency, reflective_region_psnr, reflective_psnr, reflective_ssim, reflective_lpips"
shiny_blender_synthetic,Shiny-Syn.,coffee,test,mean_reflection_consistency,lower,0.002339,-0.002339,base,"train: worsened=reflective_region_psnr, full_psnr, full_ssim, full_lpips, reflective_psnr, reflective_ssim, reflective_lpips; test: worsened=mean_reflection_consistency, reflective_region_psnr, reflective_psnr, reflective_ssim, reflective_lpips"
