dataset,split,method,metric,mean_value,valid_n,total_scene_count,metric_direction,note
glossy_synthetic,train,base,mean_reflection_consistency,0.17661746013909574,8,8,lower,mean over 8/8 valid scene rows
glossy_synthetic,train,base,reflective_region_psnr,26.481285572052002,8,8,higher,mean over 8/8 valid scene rows
glossy_synthetic,train,base,full_psnr,33.005992668015615,8,8,higher,mean over 8/8 valid scene rows
glossy_synthetic,train,base,full_ssim,0.9740527807734907,8,8,higher,mean over 8/8 valid scene rows
glossy_synthetic,train,base,full_lpips,0.03442330975043916,8,8,lower,mean over 8/8 valid scene rows
glossy_synthetic,train,base,reflective_psnr,34.23461346115385,8,8,higher,mean over 8/8 valid scene rows
glossy_synthetic,train,base,reflective_ssim,0.9802816402433174,8,8,higher,mean over 8/8 valid scene rows
glossy_synthetic,train,base,reflective_lpips,0.02360313355165995,8,8,lower,mean over 8/8 valid scene rows
glossy_synthetic,train,base,valid_pair_count,10.0,8,8,count,mean over 8/8 valid scene rows
glossy_synthetic,train,rc,mean_reflection_consistency,0.15684435935690996,8,8,lower,mean over 8/8 valid scene rows
glossy_synthetic,train,rc,reflective_region_psnr,26.38684096336365,8,8,higher,mean over 8/8 valid scene rows
glossy_synthetic,train,rc,full_psnr,33.00418025893825,8,8,higher,mean over 8/8 valid scene rows
glossy_synthetic,train,rc,full_ssim,0.9744548842177859,8,8,higher,mean over 8/8 valid scene rows
glossy_synthetic,train,rc,full_lpips,0.034053431038046214,8,8,lower,mean over 8/8 valid scene rows
glossy_synthetic,train,rc,reflective_psnr,34.13231866274561,8,8,higher,mean over 8/8 valid scene rows
glossy_synthetic,train,rc,reflective_ssim,0.9802358129194805,8,8,higher,mean over 8/8 valid scene rows
glossy_synthetic,train,rc,reflective_lpips,0.023735924434731662,8,8,lower,mean over 8/8 valid scene rows
glossy_synthetic,train,rc,valid_pair_count,10.0,8,8,count,mean over 8/8 valid scene rows
glossy_synthetic,test,base,mean_reflection_consistency,0.17961269919760522,8,8,lower,mean over 8/8 valid scene rows
glossy_synthetic,test,base,reflective_region_psnr,24.312145137786864,8,8,higher,mean over 8/8 valid scene rows
glossy_synthetic,test,base,full_psnr,30.18935777246952,8,8,higher,mean over 8/8 valid scene rows
glossy_synthetic,test,base,full_ssim,0.9567074188962579,8,8,higher,mean over 8/8 valid scene rows
glossy_synthetic,test,base,full_lpips,0.04345564357936376,8,8,lower,mean over 8/8 valid scene rows
glossy_synthetic,test,base,reflective_psnr,31.457174748182297,8,8,higher,mean over 8/8 valid scene rows
glossy_synthetic,test,base,reflective_ssim,0.9684194102883339,8,8,higher,mean over 8/8 valid scene rows
glossy_synthetic,test,base,reflective_lpips,0.031200014542264363,8,8,lower,mean over 8/8 valid scene rows
glossy_synthetic,test,base,valid_pair_count,10.0,8,8,count,mean over 8/8 valid scene rows
glossy_synthetic,test,rc,mean_reflection_consistency,0.1594663533382117,8,8,lower,mean over 8/8 valid scene rows
glossy_synthetic,test,rc,reflective_region_psnr,24.359107542037965,8,8,higher,mean over 8/8 valid scene rows
glossy_synthetic,test,rc,full_psnr,30.21937519311905,8,8,higher,mean over 8/8 valid scene rows
glossy_synthetic,test,rc,full_ssim,0.9574606386013329,8,8,higher,mean over 8/8 valid scene rows
glossy_synthetic,test,rc,full_lpips,0.042769070802023586,8,8,lower,mean over 8/8 valid scene rows
glossy_synthetic,test,rc,reflective_psnr,31.37676790356636,8,8,higher,mean over 8/8 valid scene rows
glossy_synthetic,test,rc,reflective_ssim,0.968180850148201,8,8,higher,mean over 8/8 valid scene rows
glossy_synthetic,test,rc,reflective_lpips,0.031232604051183402,8,8,lower,mean over 8/8 valid scene rows
glossy_synthetic,test,rc,valid_pair_count,10.0,8,8,count,mean over 8/8 valid scene rows
shiny_blender_synthetic,train,base,mean_reflection_consistency,0.24635287795681504,6,6,lower,mean over 6/6 valid scene rows
shiny_blender_synthetic,train,base,reflective_region_psnr,35.264261627197264,6,6,higher,mean over 6/6 valid scene rows
shiny_blender_synthetic,train,base,full_psnr,39.93250642776489,6,6,higher,mean over 6/6 valid scene rows
