dataset,split,scene,variant,metric,value,metric_direction
glossy_synthetic,train,angel,base,mean_reflection_consistency,0.1161050170660018,lower
glossy_synthetic,train,angel,base,reflective_psnr,34.376462493624004,higher
glossy_synthetic,train,angel,base,reflective_ssim,0.9835989932928768,higher
glossy_synthetic,train,angel,base,reflective_lpips,0.0160896331570776,lower
glossy_synthetic,train,angel,base,reflective_region_psnr,25.86960678100586,higher
glossy_synthetic,train,angel,base,full_psnr,32.8659302847726,higher
glossy_synthetic,train,angel,base,full_ssim,0.9742000039134708,higher
glossy_synthetic,train,angel,base,full_lpips,0.0325455718141581,lower
glossy_synthetic,train,angel,rc,mean_reflection_consistency,0.0997577019035816,lower
glossy_synthetic,train,angel,rc,reflective_psnr,34.23360657691956,higher
glossy_synthetic,train,angel,rc,reflective_ssim,0.9837508334645204,higher
glossy_synthetic,train,angel,rc,reflective_lpips,0.0163719008227677,lower
glossy_synthetic,train,angel,rc,reflective_region_psnr,26.09582443237305,higher
glossy_synthetic,train,angel,rc,full_psnr,32.80772658756801,higher
glossy_synthetic,train,angel,rc,full_ssim,0.9744968760226456,higher
glossy_synthetic,train,angel,rc,full_lpips,0.0324710208057825,lower
glossy_synthetic,train,angel,wo_ref,mean_reflection_consistency,0.1175509773194789,lower
glossy_synthetic,train,angel,wo_ref,reflective_psnr,34.56403170313154,higher
glossy_synthetic,train,angel,wo_ref,reflective_ssim,0.9846151785126754,higher
glossy_synthetic,train,angel,wo_ref,reflective_lpips,0.0157215853022145,lower
glossy_synthetic,train,angel,wo_ref,reflective_region_psnr,25.99390811920166,higher
glossy_synthetic,train,angel,wo_ref,full_psnr,32.895416617393494,higher
glossy_synthetic,train,angel,wo_ref,full_ssim,0.97448186523148,higher
glossy_synthetic,train,angel,wo_ref,full_lpips,0.0323494809480117,lower
glossy_synthetic,train,angel,wo_conf,mean_reflection_consistency,0.1043616481125354,lower
glossy_synthetic,train,angel,wo_conf,reflective_psnr,34.51892679078238,higher
glossy_synthetic,train,angel,wo_conf,reflective_ssim,0.9841542036405632,higher
glossy_synthetic,train,angel,wo_conf,reflective_lpips,0.0157127853516223,lower
glossy_synthetic,train,angel,wo_conf,reflective_region_psnr,26.048081970214845,higher
glossy_synthetic,train,angel,wo_conf,full_psnr,32.88566199370793,higher
glossy_synthetic,train,angel,wo_conf,full_ssim,0.9744018933602742,higher
glossy_synthetic,train,angel,wo_conf,full_lpips,0.0322457009460777,lower
glossy_synthetic,train,angel,rough_only,mean_reflection_consistency,0.1152371354401111,lower
glossy_synthetic,train,angel,rough_only,reflective_psnr,34.027350834437776,higher
glossy_synthetic,train,angel,rough_only,reflective_ssim,0.9840815556900842,higher
glossy_synthetic,train,angel,rough_only,reflective_lpips,0.0162402759222979,lower
glossy_synthetic,train,angel,rough_only,reflective_region_psnr,25.64068298339844,higher
glossy_synthetic,train,angel,rough_only,full_psnr,32.64003835405622,higher
glossy_synthetic,train,angel,rough_only,full_ssim,0.9738713891378472,higher
glossy_synthetic,train,angel,rough_only,full_lpips,0.0330251362008441,lower
glossy_synthetic,train,bell,base,mean_reflection_consistency,0.1478155322372913,lower
glossy_synthetic,train,bell,base,reflective_psnr,34.90486281258719,higher
glossy_synthetic,train,bell,base,reflective_ssim,0.9790980273059436,higher
glossy_synthetic,train,bell,base,reflective_lpips,0.0260024357786668,lower
glossy_synthetic,train,bell,base,reflective_region_psnr,28.298690032958984,higher
glossy_synthetic,train,bell,base,full_psnr,34.258189473833355,higher
glossy_synthetic,train,bell,base,full_ssim,0.976869246257203,higher
glossy_synthetic,train,bell,base,full_lpips,0.032542489834928,lower
glossy_synthetic,train,bell,rc,mean_reflection_consistency,0.1433430403470993,lower
glossy_synthetic,train,bell,rc,reflective_psnr,34.9207432610648,higher
glossy_synthetic,train,bell,rc,reflective_ssim,0.9798789471387864,higher
glossy_synthetic,train,bell,rc,reflective_lpips,0.0244719251890533,lower
glossy_synthetic,train,bell,rc,reflective_region_psnr,28.27375888824463,higher
glossy_synthetic,train,bell,rc,full_psnr,34.27323712621416,higher
glossy_synthetic,train,bell,rc,full_ssim,0.9775770684438092,higher
glossy_synthetic,train,bell,rc,full_lpips,0.0309785973846114,lower
glossy_synthetic,train,bell,wo_ref,mean_reflection_consistency,0.1472119845449924,lower
glossy_synthetic,train,bell,wo_ref,reflective_psnr,34.78946573393686,higher
glossy_synthetic,train,bell,wo_ref,reflective_ssim,0.9787812456488608,higher
glossy_synthetic,train,bell,wo_ref,reflective_lpips,0.0266518970851653,lower
glossy_synthetic,train,bell,wo_ref,reflective_region_psnr,28.287261962890625,higher
glossy_synthetic,train,bell,wo_ref,full_psnr,34.103809288569856,higher
glossy_synthetic,train,bell,wo_ref,full_ssim,0.9761554598808287,higher
glossy_synthetic,train,bell,wo_ref,full_lpips,0.0333940191194415,lower
glossy_synthetic,train,bell,wo_conf,mean_reflection_consistency,0.1432468637824058,lower
glossy_synthetic,train,bell,wo_conf,reflective_psnr,34.86687840734209,higher
glossy_synthetic,train,bell,wo_conf,reflective_ssim,0.9788906994674887,higher
glossy_synthetic,train,bell,wo_conf,reflective_lpips,0.0265659605585304,lower
glossy_synthetic,train,bell,wo_conf,reflective_region_psnr,28.281042098999023,higher
glossy_synthetic,train,bell,wo_conf,full_psnr,34.23323018210275,higher
glossy_synthetic,train,bell,wo_conf,full_ssim,0.9767290518752166,higher
glossy_synthetic,train,bell,wo_conf,full_lpips,0.0328654090408235,lower
glossy_synthetic,train,bell,rough_only,mean_reflection_consistency,0.150847277790308,lower
glossy_synthetic,train,bell,rough_only,reflective_psnr,34.85300987107413,higher
glossy_synthetic,train,bell,rough_only,reflective_ssim,0.9793340042233468,higher
glossy_synthetic,train,bell,rough_only,reflective_lpips,0.0270949976319181,lower
glossy_synthetic,train,bell,rough_only,reflective_region_psnr,28.27362060546875,higher
glossy_synthetic,train,bell,rough_only,full_psnr,34.232450008392334,higher
glossy_synthetic,train,bell,rough_only,full_ssim,0.976803178765944,higher
glossy_synthetic,train,bell,rough_only,full_lpips,0.0329372637206688,lower
glossy_synthetic,train,cat,base,mean_reflection_consistency,0.1224585108458995,lower
glossy_synthetic,train,cat,base,reflective_psnr,36.98094197681972,higher
glossy_synthetic,train,cat,base,reflective_ssim,0.989677577146462,higher
glossy_synthetic,train,cat,base,reflective_lpips,0.0180683377298659,lower
glossy_synthetic,train,cat,base,reflective_region_psnr,28.26777744293213,higher
glossy_synthetic,train,cat,base,full_psnr,36.00860548019409,higher
glossy_synthetic,train,cat,base,full_ssim,0.9855903860713754,higher
glossy_synthetic,train,cat,base,full_lpips,0.0293366401788911,lower
glossy_synthetic,train,cat,rc,mean_reflection_consistency,0.1153977930545806,lower
glossy_synthetic,train,cat,rc,reflective_psnr,36.875485352107454,higher
glossy_synthetic,train,cat,rc,reflective_ssim,0.9890196302107402,higher
glossy_synthetic,train,cat,rc,reflective_lpips,0.0188038112329585,lower
glossy_synthetic,train,cat,rc,reflective_region_psnr,28.245301818847658,higher
glossy_synthetic,train,cat,rc,full_psnr,36.03758927753994,higher
glossy_synthetic,train,cat,rc,full_ssim,0.9857039712369442,higher
glossy_synthetic,train,cat,rc,full_lpips,0.0291747528826817,lower
glossy_synthetic,train,cat,wo_ref,mean_reflection_consistency,0.1248512998223304,lower
glossy_synthetic,train,cat,wo_ref,reflective_psnr,36.9030259677342,higher
glossy_synthetic,train,cat,wo_ref,reflective_ssim,0.9897249191999437,higher
glossy_synthetic,train,cat,wo_ref,reflective_lpips,0.0181388792033041,lower
glossy_synthetic,train,cat,wo_ref,reflective_region_psnr,28.06360321044922,higher
glossy_synthetic,train,cat,wo_ref,full_psnr,35.66708442143032,higher
glossy_synthetic,train,cat,wo_ref,full_ssim,0.9846585802733898,higher
glossy_synthetic,train,cat,wo_ref,full_lpips,0.0307441557524725,lower
glossy_synthetic,train,cat,wo_conf,mean_reflection_consistency,0.1199806176126003,lower
glossy_synthetic,train,cat,wo_conf,reflective_psnr,37.06301147597177,higher
glossy_synthetic,train,cat,wo_conf,reflective_ssim,0.9900204672345092,higher
glossy_synthetic,train,cat,wo_conf,reflective_lpips,0.0174814828289007,lower
glossy_synthetic,train,cat,wo_conf,reflective_region_psnr,27.952320671081544,higher
glossy_synthetic,train,cat,wo_conf,full_psnr,35.645037923540386,higher
glossy_synthetic,train,cat,wo_conf,full_ssim,0.9847686061901706,higher
glossy_synthetic,train,cat,wo_conf,full_lpips,0.0306130682168129,lower
glossy_synthetic,train,cat,rough_only,mean_reflection_consistency,0.1237304925918579,lower
glossy_synthetic,train,cat,rough_only,reflective_psnr,36.88422308649336,higher
glossy_synthetic,train,cat,rough_only,reflective_ssim,0.989500999982868,higher
glossy_synthetic,train,cat,rough_only,reflective_lpips,0.0187849057339397,lower
glossy_synthetic,train,cat,rough_only,reflective_region_psnr,28.029560089111328,higher
glossy_synthetic,train,cat,rough_only,full_psnr,35.88318872451782,higher
glossy_synthetic,train,cat,rough_only,full_ssim,0.9853117199880737,higher
glossy_synthetic,train,cat,rough_only,full_lpips,0.030163066478313,lower
glossy_synthetic,train,horse,base,mean_reflection_consistency,0.1993733793497085,lower
glossy_synthetic,train,horse,base,reflective_psnr,32.955077852521626,higher
glossy_synthetic,train,horse,base,reflective_ssim,0.980091870895454,higher
glossy_synthetic,train,horse,base,reflective_lpips,0.0174163100808592,lower
glossy_synthetic,train,horse,base,reflective_region_psnr,24.13563022613525,higher
glossy_synthetic,train,horse,base,full_psnr,30.47383063180106,higher
glossy_synthetic,train,horse,base,full_ssim,0.9692279866763523,higher
glossy_synthetic,train,horse,base,full_lpips,0.0293434990702995,lower
glossy_synthetic,train,horse,rc,mean_reflection_consistency,0.178480402380228,lower
glossy_synthetic,train,horse,rc,reflective_psnr,33.067918624196736,higher
glossy_synthetic,train,horse,rc,reflective_ssim,0.980128502207143,higher
glossy_synthetic,train,horse,rc,reflective_lpips,0.0175319924850815,lower
glossy_synthetic,train,horse,rc,reflective_region_psnr,24.25545234680176,higher
glossy_synthetic,train,horse,rc,full_psnr,30.506667528833663,higher
glossy_synthetic,train,horse,rc,full_ssim,0.969814194632428,higher
glossy_synthetic,train,horse,rc,full_lpips,0.0291160381498879,lower
glossy_synthetic,train,horse,wo_ref,mean_reflection_consistency,0.1957314908504486,lower
glossy_synthetic,train,horse,wo_ref,reflective_psnr,32.242526922907146,higher
glossy_synthetic,train,horse,wo_ref,reflective_ssim,0.9793699149574552,higher
glossy_synthetic,train,horse,wo_ref,reflective_lpips,0.0194963315817793,lower
glossy_synthetic,train,horse,wo_ref,reflective_region_psnr,23.41133346557617,higher
glossy_synthetic,train,horse,wo_ref,full_psnr,30.00146995271956,higher
glossy_synthetic,train,horse,wo_ref,full_ssim,0.96853007376194,higher
glossy_synthetic,train,horse,wo_ref,full_lpips,0.0315188622002356,lower
glossy_synthetic,train,horse,wo_conf,mean_reflection_consistency,0.1814376354217529,lower
glossy_synthetic,train,horse,wo_conf,reflective_psnr,32.720366512026104,higher
glossy_synthetic,train,horse,wo_conf,reflective_ssim,0.979630384594202,higher
glossy_synthetic,train,horse,wo_conf,reflective_lpips,0.0184268125615614,lower
glossy_synthetic,train,horse,wo_conf,reflective_region_psnr,24.006666946411134,higher
glossy_synthetic,train,horse,wo_conf,full_psnr,30.35312044620514,higher
glossy_synthetic,train,horse,wo_conf,full_ssim,0.968864472316844,higher
glossy_synthetic,train,horse,wo_conf,full_lpips,0.0303609776310622,lower
glossy_synthetic,train,horse,rough_only,mean_reflection_consistency,0.1980418115854263,lower
glossy_synthetic,train,horse,rough_only,reflective_psnr,32.58050959450858,higher
glossy_synthetic,train,horse,rough_only,reflective_ssim,0.9808108982230936,higher
glossy_synthetic,train,horse,rough_only,reflective_lpips,0.0172223605830887,lower
glossy_synthetic,train,horse,rough_only,reflective_region_psnr,23.90645294189453,higher
glossy_synthetic,train,horse,rough_only,full_psnr,30.46162848813193,higher
glossy_synthetic,train,horse,rough_only,full_ssim,0.9691522062889169,higher
glossy_synthetic,train,horse,rough_only,full_lpips,0.0298955312963309,lower
glossy_synthetic,train,luyu,base,mean_reflection_consistency,0.1188806600868701,lower
glossy_synthetic,train,luyu,base,reflective_psnr,33.95423786980765,higher
glossy_synthetic,train,luyu,base,reflective_ssim,0.9796441426234586,higher
glossy_synthetic,train,luyu,base,reflective_lpips,0.0195913613008867,lower
glossy_synthetic,train,luyu,base,reflective_region_psnr,25.514339637756347,higher
glossy_synthetic,train,luyu,base,full_psnr,32.07533998148782,higher
