dataset,split,scene,variant,geometry_proxy_vertex_count,geometry_proxy_bbox_diag,geometry_proxy_vertex_count_delta_from_input,notes
glossy_synthetic,all,angel,base,170191,2.056682494393122,70191,Model-level proxy metrics; no train/test-specific geometry.
glossy_synthetic,all,angel,rc,170763,2.058790774944899,70763,Model-level proxy metrics; no train/test-specific geometry.
glossy_synthetic,all,angel,rough_only,176446,2.0549225174282704,76446,Model-level proxy metrics; no train/test-specific geometry.
glossy_synthetic,all,angel,wo_conf,169871,2.055448768531236,69871,Model-level proxy metrics; no train/test-specific geometry.
glossy_synthetic,all,angel,wo_ref,172037,2.057549267309314,72037,Model-level proxy metrics; no train/test-specific geometry.
glossy_synthetic,all,bell,base,72881,2.363923631903748,-27119,Model-level proxy metrics; no train/test-specific geometry.
glossy_synthetic,all,bell,rc,75282,2.36548100361723,-24718,Model-level proxy metrics; no train/test-specific geometry.
glossy_synthetic,all,bell,rough_only,72595,2.363209222038035,-27405,Model-level proxy metrics; no train/test-specific geometry.
glossy_synthetic,all,bell,wo_conf,74147,2.3640387518995896,-25853,Model-level proxy metrics; no train/test-specific geometry.
glossy_synthetic,all,bell,wo_ref,72372,2.363211477971693,-27628,Model-level proxy metrics; no train/test-specific geometry.
glossy_synthetic,all,cat,base,69090,2.5151492232977146,-30910,Model-level proxy metrics; no train/test-specific geometry.
glossy_synthetic,all,cat,rc,66158,2.41639425476256,-33842,Model-level proxy metrics; no train/test-specific geometry.
glossy_synthetic,all,cat,rough_only,66287,2.4046892002019464,-33713,Model-level proxy metrics; no train/test-specific geometry.
glossy_synthetic,all,cat,wo_conf,64912,2.387071753666876,-35088,Model-level proxy metrics; no train/test-specific geometry.
glossy_synthetic,all,cat,wo_ref,67411,2.399666656987033,-32589,Model-level proxy metrics; no train/test-specific geometry.
glossy_synthetic,all,horse,base,211650,2.1712656735729152,111650,Model-level proxy metrics; no train/test-specific geometry.
glossy_synthetic,all,horse,rc,204831,2.1716356365311995,104831,Model-level proxy metrics; no train/test-specific geometry.
glossy_synthetic,all,horse,rough_only,209885,2.173598688919253,109885,Model-level proxy metrics; no train/test-specific geometry.
glossy_synthetic,all,horse,wo_conf,215860,2.1737159651165734,115860,Model-level proxy metrics; no train/test-specific geometry.
glossy_synthetic,all,horse,wo_ref,220993,2.188253219300951,120993,Model-level proxy metrics; no train/test-specific geometry.
glossy_synthetic,all,luyu,base,155704,2.436008983017052,55704,Model-level proxy metrics; no train/test-specific geometry.
glossy_synthetic,all,luyu,rc,166906,2.4309956207289236,66906,Model-level proxy metrics; no train/test-specific geometry.
glossy_synthetic,all,luyu,rough_only,158786,2.434508931875418,58786,Model-level proxy metrics; no train/test-specific geometry.
glossy_synthetic,all,luyu,wo_conf,167209,2.4456391231890358,67209,Model-level proxy metrics; no train/test-specific geometry.
glossy_synthetic,all,luyu,wo_ref,151098,2.436123109476403,51098,Model-level proxy metrics; no train/test-specific geometry.
glossy_synthetic,all,potion,base,71997,2.764447009146561,-28003,Model-level proxy metrics; no train/test-specific geometry.
glossy_synthetic,all,potion,rc,73966,2.7665411157337596,-26034,Model-level proxy metrics; no train/test-specific geometry.
glossy_synthetic,all,potion,rough_only,71316,2.7434846394146866,-28684,Model-level proxy metrics; no train/test-specific geometry.
glossy_synthetic,all,potion,wo_conf,71475,2.7639083480204154,-28525,Model-level proxy metrics; no train/test-specific geometry.
glossy_synthetic,all,potion,wo_ref,71966,2.7614530272132285,-28034,Model-level proxy metrics; no train/test-specific geometry.
glossy_synthetic,all,tbell,base,80006,2.657179025665908,-19994,Model-level proxy metrics; no train/test-specific geometry.
glossy_synthetic,all,tbell,rc,79138,2.6540723335520098,-20862,Model-level proxy metrics; no train/test-specific geometry.
glossy_synthetic,all,tbell,rough_only,75437,2.655336428387932,-24563,Model-level proxy metrics; no train/test-specific geometry.
glossy_synthetic,all,tbell,wo_conf,76147,2.6533107271082463,-23853,Model-level proxy metrics; no train/test-specific geometry.
