dataset,split,scene,consistency_improvement_test,proxy_vertex_count_delta_rc_minus_base,proxy_bbox_diag_delta_rc_minus_base,geometry_metric_type,claim_boundary
glossy_synthetic,all,angel,0.014609189331531602,572.0,0.002108280551777142,level3_proxy,"Proxy deltas are artifact diagnostics, not mesh quality improvements."
glossy_synthetic,all,bell,0.001976472139358601,2401.0,0.0015573717134818033,level3_proxy,"Proxy deltas are artifact diagnostics, not mesh quality improvements."
glossy_synthetic,all,cat,0.006835789978504203,-2932.0,-0.09875496853515475,level3_proxy,"Proxy deltas are artifact diagnostics, not mesh quality improvements."
glossy_synthetic,all,horse,0.030378532409668008,-6819.0,0.0003699629582842867,level3_proxy,"Proxy deltas are artifact diagnostics, not mesh quality improvements."
glossy_synthetic,all,luyu,0.0049182765185833005,11202.0,-0.00501336228812832,level3_proxy,"Proxy deltas are artifact diagnostics, not mesh quality improvements."
glossy_synthetic,all,potion,0.0024519551545381935,1969.0,0.002094106587198663,level3_proxy,"Proxy deltas are artifact diagnostics, not mesh quality improvements."
glossy_synthetic,all,tbell,0.05650102645158761,-868.0,-0.003106692113898024,level3_proxy,"Proxy deltas are artifact diagnostics, not mesh quality improvements."
glossy_synthetic,all,teapot,0.043499524891376484,-6866.0,-0.00856004537613364,level3_proxy,"Proxy deltas are artifact diagnostics, not mesh quality improvements."
shiny_blender_synthetic,all,ball,0.001397577300667703,301.0,0.0007640873609107146,level3_proxy,"Proxy deltas are artifact diagnostics, not mesh quality improvements."
shiny_blender_synthetic,all,car,0.037831046432256696,-3842.0,-0.006780587498352197,level3_proxy,"Proxy deltas are artifact diagnostics, not mesh quality improvements."
shiny_blender_synthetic,all,coffee,-0.0023386904969811004,933.0,-0.0013396615968974679,level3_proxy,"Proxy deltas are artifact diagnostics, not mesh quality improvements."
shiny_blender_synthetic,all,helmet,0.18088201992213732,-307.0,0.0016506476629887246,level3_proxy,"Proxy deltas are artifact diagnostics, not mesh quality improvements."
shiny_blender_synthetic,all,teapot,0.0011977510526776,-1223.0,0.0016306774291923176,level3_proxy,"Proxy deltas are artifact diagnostics, not mesh quality improvements."
shiny_blender_synthetic,all,toaster,0.0482442721724511,-932.0,0.004547432096080328,level3_proxy,"Proxy deltas are artifact diagnostics, not mesh quality improvements."
