dataset,split,scene,method,metric,value,metric_direction,geometry_gt_type,evaluation_level,mesh_file,gt_file,aligned_flag,valid_flag,source_file,note
glossy_synthetic,all,angel,base,geometry_proxy_vertex_count,170191.0,diagnostic,none,level3_proxy,,nan,False,True,/tmp/rc_refgs_full_dataset_base_rc_i31000_20260527/glossy_synthetic/angel/base/seed_0/point_cloud/iteration_31000/point_cloud.ply,Proxy-only point-cloud artifact diagnostics; not a mesh/surface quality metric.
glossy_synthetic,all,angel,base,geometry_proxy_bbox_diag,2.056682494393122,diagnostic,none,level3_proxy,,nan,False,True,/tmp/rc_refgs_full_dataset_base_rc_i31000_20260527/glossy_synthetic/angel/base/seed_0/point_cloud/iteration_31000/point_cloud.ply,Proxy-only point-cloud artifact diagnostics; not a mesh/surface quality metric.
glossy_synthetic,all,angel,base,geometry_proxy_vertex_count_delta_from_input,70191.0,diagnostic,none,level3_proxy,,nan,False,True,/tmp/rc_refgs_full_dataset_base_rc_i31000_20260527/glossy_synthetic/angel/base/seed_0/point_cloud/iteration_31000/point_cloud.ply,Proxy-only point-cloud artifact diagnostics; not a mesh/surface quality metric.
glossy_synthetic,all,angel,rc,geometry_proxy_vertex_count,170763.0,diagnostic,none,level3_proxy,,nan,False,True,/tmp/rc_refgs_full_dataset_base_rc_i31000_20260527/glossy_synthetic/angel/rc/seed_0/point_cloud/iteration_31000/point_cloud.ply,Proxy-only point-cloud artifact diagnostics; not a mesh/surface quality metric.
glossy_synthetic,all,angel,rc,geometry_proxy_bbox_diag,2.058790774944899,diagnostic,none,level3_proxy,,nan,False,True,/tmp/rc_refgs_full_dataset_base_rc_i31000_20260527/glossy_synthetic/angel/rc/seed_0/point_cloud/iteration_31000/point_cloud.ply,Proxy-only point-cloud artifact diagnostics; not a mesh/surface quality metric.
glossy_synthetic,all,angel,rc,geometry_proxy_vertex_count_delta_from_input,70763.0,diagnostic,none,level3_proxy,,nan,False,True,/tmp/rc_refgs_full_dataset_base_rc_i31000_20260527/glossy_synthetic/angel/rc/seed_0/point_cloud/iteration_31000/point_cloud.ply,Proxy-only point-cloud artifact diagnostics; not a mesh/surface quality metric.
glossy_synthetic,all,bell,base,geometry_proxy_vertex_count,72881.0,diagnostic,none,level3_proxy,,nan,False,True,/tmp/rc_refgs_full_dataset_base_rc_i31000_20260527/glossy_synthetic/bell/base/seed_0/point_cloud/iteration_31000/point_cloud.ply,Proxy-only point-cloud artifact diagnostics; not a mesh/surface quality metric.
glossy_synthetic,all,bell,base,geometry_proxy_bbox_diag,2.363923631903748,diagnostic,none,level3_proxy,,nan,False,True,/tmp/rc_refgs_full_dataset_base_rc_i31000_20260527/glossy_synthetic/bell/base/seed_0/point_cloud/iteration_31000/point_cloud.ply,Proxy-only point-cloud artifact diagnostics; not a mesh/surface quality metric.
glossy_synthetic,all,bell,base,geometry_proxy_vertex_count_delta_from_input,-27119.0,diagnostic,none,level3_proxy,,nan,False,True,/tmp/rc_refgs_full_dataset_base_rc_i31000_20260527/glossy_synthetic/bell/base/seed_0/point_cloud/iteration_31000/point_cloud.ply,Proxy-only point-cloud artifact diagnostics; not a mesh/surface quality metric.
glossy_synthetic,all,bell,rc,geometry_proxy_vertex_count,75282.0,diagnostic,none,level3_proxy,,nan,False,True,/tmp/rc_refgs_full_dataset_base_rc_i31000_20260527/glossy_synthetic/bell/rc/seed_0/point_cloud/iteration_31000/point_cloud.ply,Proxy-only point-cloud artifact diagnostics; not a mesh/surface quality metric.
glossy_synthetic,all,bell,rc,geometry_proxy_bbox_diag,2.36548100361723,diagnostic,none,level3_proxy,,nan,False,True,/tmp/rc_refgs_full_dataset_base_rc_i31000_20260527/glossy_synthetic/bell/rc/seed_0/point_cloud/iteration_31000/point_cloud.ply,Proxy-only point-cloud artifact diagnostics; not a mesh/surface quality metric.
glossy_synthetic,all,bell,rc,geometry_proxy_vertex_count_delta_from_input,-24718.0,diagnostic,none,level3_proxy,,nan,False,True,/tmp/rc_refgs_full_dataset_base_rc_i31000_20260527/glossy_synthetic/bell/rc/seed_0/point_cloud/iteration_31000/point_cloud.ply,Proxy-only point-cloud artifact diagnostics; not a mesh/surface quality metric.
glossy_synthetic,all,cat,base,geometry_proxy_vertex_count,69090.0,diagnostic,none,level3_proxy,,nan,False,True,/tmp/rc_refgs_full_dataset_base_rc_i31000_20260527/glossy_synthetic/cat/base/seed_0/point_cloud/iteration_31000/point_cloud.ply,Proxy-only point-cloud artifact diagnostics; not a mesh/surface quality metric.
glossy_synthetic,all,cat,base,geometry_proxy_bbox_diag,2.5151492232977146,diagnostic,none,level3_proxy,,nan,False,True,/tmp/rc_refgs_full_dataset_base_rc_i31000_20260527/glossy_synthetic/cat/base/seed_0/point_cloud/iteration_31000/point_cloud.ply,Proxy-only point-cloud artifact diagnostics; not a mesh/surface quality metric.
glossy_synthetic,all,cat,base,geometry_proxy_vertex_count_delta_from_input,-30910.0,diagnostic,none,level3_proxy,,nan,False,True,/tmp/rc_refgs_full_dataset_base_rc_i31000_20260527/glossy_synthetic/cat/base/seed_0/point_cloud/iteration_31000/point_cloud.ply,Proxy-only point-cloud artifact diagnostics; not a mesh/surface quality metric.
glossy_synthetic,all,cat,rc,geometry_proxy_vertex_count,66158.0,diagnostic,none,level3_proxy,,nan,False,True,/tmp/rc_refgs_full_dataset_base_rc_i31000_20260527/glossy_synthetic/cat/rc/seed_0/point_cloud/iteration_31000/point_cloud.ply,Proxy-only point-cloud artifact diagnostics; not a mesh/surface quality metric.
